chunk_text,trial_id,condition,phase,status,enrollment,sponsor,interventions,start_year,completion_year
"NCT Number: NCT00136890. Study Title: PET Imaging in Potentially Surgically Resectable Non-small Cell Lung Cancers. Sponsor: Ontario Clinical Oncology Group (OCOG). Condition or Disease: Non-small-cell Lung Carcinoma. Intervention or Drug or Treatment: PROCEDURE: PET Imaging. Phase: PHASE3. Study Status: COMPLETED. Enrollment: 337.0. Summary: Lung cancer remains the leading cause of cancer deaths in men and women. Although overall survival remains poor, early stage non-small cell lung cancer (NSCLC) is potentially curable. Improved staging has led to stage-specific therapies such that patients with early stage NSCLC are potential candidates for surgical resection, and those with more advanced disease are spared the morbidity and risk of mortality from thoracotomy and pulmonary resection. Despite contemporary staging techniques, 25-50% of patients who appear to have limited disease amenable to surgical resection go on to die from metastatic lung cancer. If occult micro-metastatic disease that becomes evident later could be detected reliably during the pre-operative assessment, patients harboring such disease could be spared a non-curative thoracotomy. PET imaging has the potential to detect mediastinal and extrathoracic metastatic disease not detected by conventional imaging modalities.
This prospective, multicenter trial will enroll patients with biopsy-proven clinical stage I-IIIA NSCLC who are considered to be candidates for surgical resection with curative intent. Preoperatively, patients will be randomized to conventional staging for metastatic disease (CT liver/adrenals, total body bone scan, and CT with contrast or MRI with gadolinium of the brain) versus whole body PET or PET-CT and brain CT or MRI with contrast/gadolinium.. ",NCT00136890,Non-small-cell Lung Carcinoma,PHASE3,COMPLETED,337.0,Ontario Clinical Oncology Group (OCOG),PROCEDURE: PET Imaging,2004,2013
NCT Number: NCT01232452. Study Title: A Study in Non-Small Cell Lung Cancer. Sponsor: Eli Lilly and Company. Condition or Disease: Non-Small-Cell Lung Carcinoma. Intervention or Drug or Treatment: DRUG: Pemetrexed|DRUG: Cisplatin|DRUG: Cixutumumab. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 172.0. Summary: The primary purpose of this study is to evaluate the hypothesis that cixutumumab given in combination with cisplatin and pemetrexed is superior to cisplatin and pemetrexed as first-line therapy for patients with advanced nonsquamous non-small cell lung carcinoma (NSCLC).. ,NCT01232452,Non-Small-Cell Lung Carcinoma,PHASE2,COMPLETED,172.0,Eli Lilly and Company,DRUG: Pemetrexed|DRUG: Cisplatin|DRUG: Cixutumumab,2011,2016
"NCT Number: NCT00915005. Study Title: Trial of Image-Guided Adaptive Conformal Photon vs Proton Therapy, With Concurrent Chemotherapy, for Locally Advanced Non-Small Cell Lung Carcinoma: Treatment Related Pneumonitis and Locoregional Recurrence. Sponsor: M.D. Anderson Cancer Center. Condition or Disease: Non-Small-Cell Lung Carcinoma. Intervention or Drug or Treatment: RADIATION: Photon Therapy|RADIATION: Proton Therapy|DRUG: Paclitaxel|DRUG: Carboplatin. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 275.0. Summary: The goal of this clinical research study is to learn if, compared with regular x-ray radiation, proton radiation reduces the risk of developing, treatment-related pneumonitis (TRP) or tumor recurrence (the tumor coming back in the irradiated area after treatment) in patients with lung cancer.. ",NCT00915005,Non-Small-Cell Lung Carcinoma,PHASE2,COMPLETED,275.0,M.D. Anderson Cancer Center,RADIATION: Photon Therapy|RADIATION: Proton Therapy|DRUG: Paclitaxel|DRUG: Carboplatin,2009,2020
"NCT Number: NCT00086333. Study Title: FDG-PET to Investigate SGN-15 and Docetaxel in Patients With Advanced Non-Small Cell Lung Carcinoma. Sponsor: Seagen Inc.. Condition or Disease: Non-Small Cell Lung Carcinoma. Intervention or Drug or Treatment: DRUG: SGN-15, Docetaxel. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 30.0. Summary: This is an open-label, randomized phase II trial of a monoclonal antibody (mAb) drug immunoconjugate, SGN-15, administered weekly in combination with weekly docetaxel. The primary objective of the study is to determine the optimal interval between SGN-15 and docetaxel using FDG-PET imaging as a surrogate marker of response. In addition, clinical response rate, duration of response, and survival data will be collected.. ",NCT00086333,Non-Small Cell Lung Carcinoma,PHASE2,COMPLETED,30.0,Seagen Inc.,"DRUG: SGN-15, Docetaxel",2004,2005
"NCT Number: NCT02400424. Study Title: Study of the Efficacy of SBRT on Unresectable Peripheral Primary Tumor. Sponsor: Centre Leon Berard. Condition or Disease: Non-small-cell Lung Carcinoma. Intervention or Drug or Treatment: RADIATION: SBRT. Phase: . Study Status: TERMINATED. Enrollment: 25.0. Summary: The purpose of this study is to evaluate the efficacy of stereotactic lung radiation therapy after concomitant radiochemotherapy for unresectable stage III non-small cell lung carcinoma (NSCLC) with peripheral primary tumor.
Evaluate in terms of local control rate at 6 months the addition of stereotactic radiotherapy after concurrent chemoradiotherapy in the treatment of mediastinal non-resectable stage III NSCLC having a peripheral primary tumor.
The number of patients required in this multicenter prospective study is 70.
This is a prospective, multicenter, non comparative and non randomized study.. ",NCT02400424,Non-small-cell Lung Carcinoma,,TERMINATED,25.0,Centre Leon Berard,RADIATION: SBRT,2015,2020
"NCT Number: NCT05703997. Study Title: FASTing-like Approach and Maintenance IMMunotherapy in ES-SCLC Patients Not Progressing on Chemoimmunotherapy Induction. Sponsor: Fondazione IRCCS Istituto Nazionale dei Tumori, Milano. Condition or Disease: Small Cell Lung Carcinoma. Intervention or Drug or Treatment: DIETARY_SUPPLEMENT: Cyclic, 5-day calorie restriction|DRUG: Atezolizumab. Phase: PHASE2. Study Status: NOT_YET_RECRUITING. Enrollment: 20.0. Summary: Cyclic, 5-day calorie restriction is a safe metabolic intervention when combined with standard therapies in cancer patients, favorably reshaping peripheral blood and intratumor metabolism and immunity in a way that may improve the antitumor activity and efficacy of immunotherapy.
The goal of this clinical trial is to test if combining cyclic, 5-day calorie restriction with atezolizumab maintenance in patients with ES SCLC achieving at least stable disease after four cycles of induction atezolizumab plus carboplatin and etoposide chemoimmunotherapy may increase the efficacy of a standard first-line, chemo-immunotherapy approach in terms of patient PFS.
The main question it aims to answer is:
• does the combination of cyclic, 5-day calorie restriction with triweekly atezolizumab increase the 6 months PFS rate, as evaluated from maintenance treatment initiation, compared to historical results with standard atezolizumab maintenance monotherapy in patients with ES SCLC non-progressive after four cycles of first-line chemo-immunotherapy induction with atezolizumab plus carboplatin and etoposide?. ",NCT05703997,Small Cell Lung Carcinoma,PHASE2,NOT_YET_RECRUITING,20.0,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano","DIETARY_SUPPLEMENT: Cyclic, 5-day calorie restriction|DRUG: Atezolizumab",2023,2029
"NCT Number: NCT00864266. Study Title: Biological Factors Predicting Response to Chemotherapy in Advanced Non Small Cell Lung Cancer. Sponsor: European Lung Cancer Working Party. Condition or Disease: Non Small Cell Lung Carcinoma. Intervention or Drug or Treatment: DRUG: Chemotherapy. Phase: . Study Status: COMPLETED. Enrollment: 70.0. Summary: The primary aim of the study is to identify a predictive molecular signature for response to chemotherapy, according to WHO criteria, in patients with non-small cell lung cancer by studying the transcriptome (miRNAs and mRNAs) and the single nucleotide polymorphism (SNPs) by using high throughput techniques.. ",NCT00864266,Non Small Cell Lung Carcinoma,,COMPLETED,70.0,European Lung Cancer Working Party,DRUG: Chemotherapy,2009,2020
"NCT Number: NCT02848872. Study Title: Evaluation of Tumor and Blood Immune Biomarkers in Resected Non-small Cell Lung Cancer. Sponsor: Duke University. Condition or Disease: Non-small Cell Lung Carcinoma. Intervention or Drug or Treatment: . Phase: . Study Status: COMPLETED. Enrollment: 25.0. Summary: The hypothesis of this study is that functional tumor infiltrating lymphocyte (TIL) isolation from resected lung cancer specimens is feasible, allowing determination of tumor antigen-specific T cell reactivities. The primary objective of this study is to investigate the feasibility of isolating functional tumor infiltrating lymphocytes s(TILs) to determine tumor antigen-specific T cell re-activities in 30 resected lung tumor specimens. Successful isolation of TILs will be defined as collecting 1x10-6 viable, CD45+ mononuclear cells or greater from tumors containing \>/=1 gram of excess tissue. If successful isolation of TILs can be obtained from \>/= 66% of resected tumor specimens, the protocol will be considered feasible. The primary exploratory objective is to identify immunologic signatures that predict clinical outcomes from cytotoxic chemotherapy and/or immunotherapy.. ",NCT02848872,Non-small Cell Lung Carcinoma,,COMPLETED,25.0,Duke University,,2016,2019
"NCT Number: NCT02647164. Study Title: The Value Of Circulating Tumor Cells In Patient With NSCLC In Postoperative Recurrence Monitoring. Sponsor: GenoSaber. Condition or Disease: Non-small-cell Lung Carcinoma. Intervention or Drug or Treatment: . Phase: . Study Status: UNKNOWN. Enrollment: 360.0. Summary: The purpose of this study is to assess the value of circulating tumor cells (CTC)for non-small cell lung cancer in the postoperative recurrence monitoring by comparing the CTCs, CT and tumor markers at different time points.The time of CTC and carcinoembryonic antigen(CEA) detection is baseline, 2\~7 days, 3 months, 6 months, 12 months, 24 months, 36 months after the surgery. And the time of CT detection is 6 months, 12 months, 24 months, 36 months after the surgery.. ",NCT02647164,Non-small-cell Lung Carcinoma,,UNKNOWN,360.0,GenoSaber,,2016,
"NCT Number: NCT02039674. Study Title: A Study of Pembrolizumab (MK-3475) in Combination With Chemotherapy or Immunotherapy in Participants With Non-small Cell Lung Cancer (MK-3475-021/KEYNOTE-021). Sponsor: Merck Sharp & Dohme LLC. Condition or Disease: Non-small Cell Lung Carcinoma. Intervention or Drug or Treatment: BIOLOGICAL: Pembrolizumab|DRUG: Paclitaxel|DRUG: Carboplatin|BIOLOGICAL: Bevacizumab|DRUG: Pemetrexed|BIOLOGICAL: Ipilimumab|DRUG: Erlotinib|DRUG: Gefitinib. Phase: PHASE1|PHASE2. Study Status: COMPLETED. Enrollment: 267.0. Summary: The purpose of this study is to determine the safety, tolerability, and efficacy of pembrolizumab (MK-3475) in combination with chemotherapy or immunotherapy in participants with unresectable or metastatic non-small cell lung cancer (NSCLC).. ",NCT02039674,Non-small Cell Lung Carcinoma,PHASE1|PHASE2,COMPLETED,267.0,Merck Sharp & Dohme LLC,BIOLOGICAL: Pembrolizumab|DRUG: Paclitaxel|DRUG: Carboplatin|BIOLOGICAL: Bevacizumab|DRUG: Pemetrexed|BIOLOGICAL: Ipilimumab|DRUG: Erlotinib|DRUG: Gefitinib,2014,2021
"NCT Number: NCT03950674. Study Title: Study of Pemetrexed+Platinum Chemotherapy With or Without Pembrolizumab (MK-3475) in Participants With First Line Metastatic Nonsquamous Non-small Cell Lung Cancer (MK-3475-189/KEYNOTE-189)-Japan Extension Study. Sponsor: Merck Sharp & Dohme LLC. Condition or Disease: Non-Small-Cell Lung Carcinoma. Intervention or Drug or Treatment: BIOLOGICAL: Pembrolizumab 200 mg|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Pemetrexed|DIETARY_SUPPLEMENT: Folic acid 350-1000 μg|DIETARY_SUPPLEMENT: Vitamin B12 1000 μg|DRUG: Dexamethasone 4 mg|DRUG: Saline solution. Phase: PHASE3. Study Status: COMPLETED. Enrollment: 40.0. Summary: This is a Japan Extension Study of Global Study MK-3475-189 (NCT02578680). This is an efficacy and safety study of pembrolizumab (MK-3475) combined with pemetrexed/platinum chemotherapy versus pemetrexed/platinum chemotherapy alone in adult Japanese participants with advanced or metastatic nonsquamous non-small cell lung cancer (NSCLC) who have not previously received systemic therapy for advanced disease. Participants will be randomly assigned to receive pembrolizumab combined with pemetrexed/platinum (Investigators choice of cisplatin or carboplatin), OR pemetrexed/platinum (Investigators choice of cisplatin or carboplatin).
With Amendment 11 (effective date 31-Jan-2022), once the study objectives have been met or the study has ended, participants will be discontinued from this study and will be enrolled in an extension study to continue protocol-defined assessments and treatment.
The primary hypothesis is that pembrolizumab in combination with pemetrexed/platinum chemotherapy prolongs Progression-Free Survival (PFS) and Overall Survival (OS) compared to pemetrexed/platinum chemotherapy alone.. ",NCT03950674,Non-Small-Cell Lung Carcinoma,PHASE3,COMPLETED,40.0,Merck Sharp & Dohme LLC,BIOLOGICAL: Pembrolizumab 200 mg|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Pemetrexed|DIETARY_SUPPLEMENT: Folic acid 350-1000 μg|DIETARY_SUPPLEMENT: Vitamin B12 1000 μg|DRUG: Dexamethasone 4 mg|DRUG: Saline solution,2016,2023
NCT Number: NCT02556593. Study Title: IMRT Combined With Erlotinib for EGFR Wild Type Non-small Cell Lung Cancer With 4-10 Brain Metastases. Sponsor: Sun Yat-sen University. Condition or Disease: Non-Small Cell Lung Carcinoma. Intervention or Drug or Treatment: RADIATION: IMRT|RADIATION: WBRT|DRUG: erlotinib. Phase: PHASE2. Study Status: TERMINATED. Enrollment: 12.0. Summary: This study is to assess the efficacy of IMRT combined with erlotinib compared with whole-brain radiotherapy for EGFR wild type non-small cell lung cancer with 4-10 brain metastases.. ,NCT02556593,Non-Small Cell Lung Carcinoma,PHASE2,TERMINATED,12.0,Sun Yat-sen University,RADIATION: IMRT|RADIATION: WBRT|DRUG: erlotinib,2015,2019
